date,open,high,low,close,volume
2013-06-03,1.534919,1.534919,1.534919,1.534919,1000
2013-06-04,1.534919,1.535812,1.529563,1.530456,1000
2013-06-05,1.530456,1.540915,1.528713,1.539172,1000
2013-06-06,1.539172,1.564240,1.534994,1.560062,1000
2013-06-07,1.560062,1.560936,1.554820,1.555694,1000
2013-06-10,1.555694,1.558027,1.553360,1.555694,1000
2013-06-11,1.555694,1.559487,1.554811,1.558603,1000
2013-06-12,1.558603,1.571814,1.556402,1.569612,1000
2013-06-13,1.569612,1.572090,1.567381,1.569859,1000
2013-06-14,1.569859,1.571596,1.566890,1.568627,1000
2013-06-17,1.568627,1.572093,1.567380,1.570845,1000
2013-06-18,1.570845,1.572514,1.560831,1.562500,1000
2013-06-19,1.562500,1.566439,1.561742,1.565680,1000
2013-06-20,1.565680,1.569458,1.543012,1.546790,1000
2013-06-21,1.546790,1.548693,1.535377,1.537279,1000
2013-06-24,1.537279,1.541129,1.536508,1.540357,1000
2013-06-25,1.540357,1.543383,1.538757,1.541782,1000
2013-06-26,1.541782,1.543484,1.531570,1.533272,1000
2013-06-27,1.533272,1.535234,1.521499,1.523461,1000
2013-06-28,1.523461,1.524468,1.519906,1.520913,1000
2013-07-01,1.520913,1.525365,1.520171,1.524623,1000
2013-07-02,1.524623,1.526149,1.515464,1.516990,1000
2013-07-03,1.516990,1.528383,1.515091,1.526485,1000
2013-07-05,1.526485,1.533585,1.483879,1.490980,1000
2013-07-08,1.490980,1.494333,1.489853,1.493206,1000
2013-07-09,1.493206,1.495111,1.481774,1.483680,1000
2013-07-10,1.483680,1.495379,1.481730,1.493429,1000
2013-07-11,1.493429,1.516471,1.489589,1.512630,1000
2013-07-12,1.512630,1.513983,1.509450,1.510802,1000
2013-07-15,1.510802,1.512040,1.507513,1.508751,1000
2013-07-16,1.508751,1.512857,1.508066,1.512173,1000
2013-07-17,1.512173,1.519612,1.510933,1.518372,1000
2013-07-18,1.518372,1.521113,1.516555,1.519295,1000
2013-07-19,1.519295,1.527363,1.517950,1.526019,1000
2013-07-22,1.526019,1.538681,1.523908,1.536570,1000
2013-07-23,1.536570,1.538284,1.533677,1.535391,1000
2013-07-24,1.535391,1.538404,1.533793,1.536807,1000
2013-07-25,1.536807,1.537513,1.532565,1.533272,1000
2013-07-26,1.533272,1.537513,1.532565,1.536807,1000
2013-07-29,1.536807,1.538402,1.533796,1.535391,1000
2013-07-30,1.535391,1.537591,1.522190,1.524390,1000
2013-07-31,1.524390,1.525732,1.516339,1.517681,1000
2013-08-01,1.517681,1.518344,1.513800,1.514463,1000
2013-08-02,1.514463,1.530288,1.511826,1.527650,1000
2013-08-05,1.527650,1.536091,1.526244,1.534684,1000
2013-08-06,1.534684,1.538050,1.533440,1.536807,1000
2013-08-07,1.536807,1.554258,1.533898,1.551350,1000
2013-08-08,1.551350,1.556272,1.550529,1.555452,1000
2013-08-09,1.555452,1.556417,1.549663,1.550628,1000
2013-08-12,1.550628,1.551390,1.546747,1.547509,1000
2013-08-13,1.547509,1.548631,1.543995,1.545117,1000
2013-08-14,1.545117,1.554620,1.543534,1.553036,1000
2013-08-15,1.553036,1.558261,1.552165,1.557390,1000
2013-08-16,1.557390,1.562936,1.556465,1.562012,1000
2013-08-19,1.562012,1.567297,1.561131,1.566416,1000
2013-08-20,1.566416,1.569505,1.564801,1.567890,1000
2013-08-21,1.567890,1.570241,1.565538,1.567890,1000
2013-08-22,1.567890,1.569844,1.556163,1.558118,1000
2013-08-23,1.558118,1.560333,1.555660,1.557875,1000
2013-08-26,1.557875,1.559725,1.555055,1.556905,1000
2013-08-27,1.556905,1.557727,1.551973,1.552795,1000
2013-08-28,1.552795,1.554762,1.550105,1.552072,1000
2013-08-29,1.552072,1.552745,1.548034,1.548707,1000
2013-08-30,1.548707,1.550069,1.545428,1.546790,1000
2013-09-03,1.546790,1.556024,1.545252,1.554485,1000
2013-09-04,1.554485,1.566156,1.552539,1.564211,1000
2013-09-05,1.564211,1.565187,1.558357,1.559333,1000
2013-09-06,1.559333,1.564013,1.558553,1.563233,1000
2013-09-09,1.563233,1.574146,1.561414,1.572327,1000
2013-09-10,1.572327,1.575058,1.570338,1.573069,1000
2013-09-11,1.573069,1.582319,1.571527,1.580778,1000
2013-09-12,1.580778,1.583650,1.578905,1.581778,1000
2013-09-13,1.581778,1.586896,1.580925,1.586043,1000
2013-09-16,1.586043,1.593924,1.584729,1.592610,1000
2013-09-17,1.592610,1.593729,1.588959,1.590078,1000
2013-09-18,1.590078,1.597693,1.588809,1.596424,1000
2013-09-19,1.596424,1.605952,1.594836,1.604364,1000
2013-09-20,1.604364,1.605610,1.600804,1.602051,1000
2013-09-23,1.602051,1.607610,1.601124,1.606684,1000
2013-09-24,1.606684,1.607918,1.599278,1.600512,1000
2013-09-25,1.600512,1.609468,1.599019,1.607976,1000
2013-09-26,1.607976,1.609314,1.599942,1.601281,1000
2013-09-27,1.601281,1.615852,1.598852,1.613424,1000
2013-09-30,1.613424,1.618749,1.612536,1.617861,1000
2013-10-01,1.617861,1.621734,1.616872,1.620746,1000
2013-10-02,1.620746,1.623968,1.619101,1.622323,1000
2013-10-03,1.622323,1.623425,1.615713,1.616815,1000
2013-10-04,1.616815,1.618789,1.604967,1.606942,1000
2013-10-07,1.606942,1.610000,1.605176,1.608234,1000
2013-10-08,1.608234,1.611036,1.606209,1.609010,1000
2013-10-09,1.609010,1.611935,1.591463,1.594388,1000
2013-10-10,1.594388,1.598312,1.593520,1.597444,1000
2013-10-11,1.597444,1.598308,1.593524,1.594388,1000
2013-10-15,1.594388,1.598312,1.593520,1.597444,1000
2013-10-16,1.597444,1.598867,1.588908,1.590331,1000
2013-10-17,1.590331,1.621798,1.585086,1.616554,1000
2013-10-18,1.616554,1.619897,1.615042,1.618385,1000
2013-10-21,1.618385,1.619108,1.614263,1.614987,1000
2013-10-22,1.614987,1.623475,1.613572,1.622060,1000
2013-10-23,1.622060,1.623057,1.616080,1.617076,1000
2013-10-24,1.617076,1.620290,1.615434,1.618647,1000
2013-10-25,1.618647,1.619632,1.614785,1.615770,1000
2013-10-28,1.615770,1.616886,1.612047,1.613163,1000
2013-10-29,1.613163,1.614614,1.604459,1.605910,1000
2013-10-30,1.605910,1.609225,1.604402,1.607717,1000
2013-10-31,1.607717,1.609610,1.604790,1.606684,1000
2013-11-01,1.606684,1.609600,1.589187,1.592103,1000
2013-11-04,1.592103,1.595892,1.591107,1.594896,1000
2013-11-05,1.594896,1.606257,1.593003,1.604364,1000
2013-11-06,1.604364,1.608698,1.603642,1.607976,1000
2013-11-07,1.607976,1.609869,1.605048,1.606942,1000
2013-11-08,1.606942,1.608433,1.597997,1.599488,1000
2013-11-12,1.599488,1.601067,1.590018,1.591596,1000
2013-11-13,1.591596,1.605683,1.589249,1.603335,1000
2013-11-14,1.603335,1.608593,1.602459,1.607717,1000
2013-11-15,1.607717,1.611687,1.606855,1.610825,1000
2013-11-18,1.610825,1.613371,1.608538,1.611084,1000
2013-11-19,1.611084,1.613501,1.608668,1.611084,1000
2013-11-20,1.611084,1.615768,1.610304,1.614987,1000
2013-11-21,1.614987,1.617671,1.612825,1.615509,1000
2013-11-22,1.615509,1.622108,1.614409,1.621008,1000
2013-11-25,1.621008,1.622265,1.613470,1.614726,1000
2013-11-26,1.614726,1.619431,1.613942,1.618647,1000
2013-11-27,1.618647,1.628442,1.617014,1.626810,1000
2013-11-29,1.626810,1.639275,1.624732,1.637197,1000
2013-12-02,1.637197,1.639250,1.634341,1.636393,1000
2013-12-03,1.636393,1.642518,1.635373,1.641497,1000
2013-12-04,1.641497,1.642732,1.634088,1.635323,1000
2013-12-05,1.635323,1.636571,1.631672,1.632920,1000
2013-12-06,1.632920,1.635235,1.630337,1.632653,1000
2013-12-09,1.632653,1.641973,1.631100,1.640420,1000
2013-12-10,1.640420,1.643826,1.638899,1.642306,1000
2013-12-11,1.642306,1.643015,1.638098,1.638807,1000
2013-12-12,1.638807,1.640038,1.631422,1.632653,1000
2013-12-13,1.632653,1.633501,1.628613,1.629461,1000
2013-12-16,1.629461,1.632705,1.627811,1.631055,1000
2013-12-17,1.631055,1.632169,1.624374,1.625488,1000
2013-12-18,1.625488,1.641471,1.622824,1.638807,1000
2013-12-19,1.638807,1.640996,1.636081,1.638270,1000
2013-12-20,1.638270,1.639384,1.634477,1.635590,1000
2013-12-23,1.635590,1.638044,1.633137,1.635590,1000
2013-12-24,1.635590,1.638850,1.633938,1.637197,1000
2013-12-26,1.637197,1.643651,1.636121,1.642576,1000
2013-12-27,1.642576,1.650377,1.641275,1.649077,1000
2013-12-30,1.649077,1.653053,1.648097,1.652073,1000
2013-12-31,1.652073,1.658316,1.651033,1.657275,1000
2014-01-02,1.657275,1.659891,1.641580,1.644196,1000
2014-01-03,1.644196,1.645714,1.640787,1.642306,1000
2014-01-06,1.642306,1.644229,1.639305,1.641228,1000
2014-01-07,1.641228,1.644095,1.639169,1.642036,1000
2014-01-08,1.642036,1.646901,1.641225,1.646091,1000
2014-01-09,1.646091,1.648424,1.643486,1.645820,1000
2014-01-10,1.645820,1.648832,1.643891,1.646904,1000
2014-01-13,1.646904,1.648684,1.636221,1.638002,1000
2014-01-14,1.638002,1.646409,1.636600,1.645007,1000
2014-01-15,1.645007,1.646516,1.635957,1.637465,1000
2014-01-16,1.637465,1.638268,1.632651,1.633453,1000
2014-01-17,1.633453,1.644724,1.631575,1.642845,1000
2014-01-21,1.642845,1.647716,1.642034,1.646904,1000
2014-01-22,1.646904,1.659020,1.644884,1.657001,1000
2014-01-23,1.657001,1.661955,1.656175,1.661130,1000
2014-01-24,1.661130,1.663540,1.646666,1.649077,1000
2014-01-27,1.649077,1.660895,1.647107,1.658925,1000
2014-01-28,1.658925,1.661000,1.656025,1.658100,1000
2014-01-29,1.658100,1.659623,1.654654,1.656178,1000
2014-01-30,1.656178,1.657652,1.647330,1.648805,1000
2014-01-31,1.648805,1.649564,1.644248,1.645007,1000
2014-02-03,1.645007,1.647851,1.627946,1.630789,1000
2014-02-04,1.630789,1.632836,1.627946,1.629992,1000
2014-02-05,1.629992,1.632837,1.627944,1.630789,1000
2014-02-06,1.630789,1.635267,1.630043,1.634521,1000
2014-02-07,1.634521,1.640631,1.633503,1.639613,1000
2014-02-10,1.639613,1.643152,1.638227,1.641767,1000
2014-02-11,1.641767,1.647931,1.640739,1.646904,1000
2014-02-12,1.646904,1.660009,1.644720,1.657825,1000
2014-02-13,1.657825,1.665440,1.656556,1.664170,1000
2014-02-14,1.664170,1.675534,1.662276,1.673640,1000
2014-02-18,1.673640,1.674423,1.668945,1.669728,1000
2014-02-19,1.669728,1.673212,1.668197,1.671682,1000
2014-02-20,1.671682,1.673239,1.662336,1.663894,1000
